,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,d27381bd-7f68-4ab8-baf9-eb87dba3c196,Santosh Viswakarma,https://play-lh.googleusercontent.com/a-/ALV-UjUbGAENX2GqW87z3a1-kVoKqvb0HMaZRpQfJFRcE94hcFo,Nice game,5,0,2.9.0,2024-02-12 07:50:01,We are truly happy that you enjoyed our game. Thank you so much for your evaluation. Your praise will help us to create more interesting games.,2024-02-12 09:24:37,2.9.0
1,3d07cac7-9a46-4ec2-9910-3645804c2525,Gaming Lover,https://play-lh.googleusercontent.com/a-/ALV-UjVya0nZ-BPS62XqmoRlzBudZiPYfHB9EzisOLI4QzfaYA,best Game ever,5,0,,2024-02-12 07:45:39,We are truly happy that you enjoyed our game. Thank you so much for your evaluation. Your praise will help us to create more interesting games.,2024-02-12 09:25:30,
2,a71d485a-cddd-4b7f-9675-95b1525a0b58,Satish Kumar,https://play-lh.googleusercontent.com/a/ACg8ocLx6YHPS-Refa3H0v6tgqJrENKywINk506qoNNMmaN4=mo,"Tiger, 3,6,9",5,0,,2024-02-12 07:44:06,"We're happy that you like our game, Do share with your friends and keep playing!",2024-02-12 09:25:51,
3,a946fc8e-fc0a-402c-8634-8d040be8b00c,Meera Devi,https://play-lh.googleusercontent.com/a/ACg8ocJnwTbhUFcf3uvA-Q0GQc86Ez0q8IgHoZHcDLgTKCbn=mo,Thank for you bgmi,5,0,3.0.0,2024-02-12 07:41:53,We are truly happy that you enjoyed our game. Thank you so much for your evaluation. Your praise will help us to create more interesting games.,2024-02-12 09:25:58,3.0.0
4,d95c29dd-ea22-488b-a682-f2a9d44201ca,Subhadip Mandi,https://play-lh.googleusercontent.com/a/ACg8ocJk6O7p0wf6UjMRnYVOElBtoMMRm-Ayei4Qkk9TsEDM=mo,bgmi is good game,5,0,2.9.0,2024-02-12 07:37:46,We are truly happy that you enjoyed our game. Thank you so much for your evaluation. Your praise will help us to create more interesting games.,2024-02-12 09:26:31,2.9.0
5,85e52bbc-e6a1-40bf-9123-9748f6570d08,Farhan Malik,https://play-lh.googleusercontent.com/a-/ALV-UjX0F0ceWeXgTZKwb0hHoVBs4AqS7R1o6ZZoBNXEf0FgqA,Uc bahut purchase kr chuka hu pura game kharidna chahta hu,5,0,3.0.0,2024-02-12 07:36:46,"We're happy that you like our game, Do share with your friends and keep playing!",2024-02-12 09:27:17,3.0.0
6,5bbe6d74-c5bf-4a08-92a1-8b3352940f87,Drag-ON Gamer FF,https://play-lh.googleusercontent.com/a-/ALV-UjXC9grrwwQi-soJc-qhbSStWkQ7Z9yAEOvEdVlHl0OalA,Please give me shadow altar m416 i only have last 20 uc,5,0,3.0.0,2024-02-12 07:31:37,"Thanks for the 5 star rating. If you have any feedback or suggestions, please write to us at battlegroundsindia_support@krafton.com. We would love to hear from you!",2024-02-12 09:28:10,3.0.0
7,6bc3fa56-4e32-4c2d-8161-33c234f67245,Vishnu Kumarft,https://play-lh.googleusercontent.com/a/ACg8ocIacje0HpQnsR7fivJ_d9EVzznr4RsPbA6PT5m9fKKY=mo,New season show problem,5,0,3.0.0,2024-02-12 07:26:09,"Thanks for the 5 star rating. If you have any feedback or suggestions, please write to us at battlegroundsindia_support@krafton.com. We would love to hear from you!",2024-02-12 09:29:55,3.0.0
8,0ed2b355-e7b7-4823-b4e5-9a91915a7786,Ayaz Khan,https://play-lh.googleusercontent.com/a/ACg8ocIHHeuCfZSmOIaP2Q89K0MwWtL7hPHpR3rG4V5T-6ez=mo,Mira I'd ban Joshua kiu,5,0,3.0.0,2024-02-12 07:24:15,"Thank you so much for your encouraging star ratings!
",2024-02-12 09:30:45,3.0.0
9,398d0da3-5fa1-4ba6-b5b6-1d732c954d7b,Suresh Arya,https://play-lh.googleusercontent.com/a-/ALV-UjW5Ajt7w2hW_3Tfs4CZvyaq6c4KWoDRalsJWapR-crFEg,Nice game,5,0,3.0.0,2024-02-12 07:22:35,We are truly happy that you enjoyed our game. Thank you so much for your evaluation. Your praise will help us to create more interesting games.,2024-02-12 09:30:59,3.0.0
